rank,uri,artist_names,track_name,source,peak_rank,weeks_on_chart,streams,country
1,spotify:track:7ABLbnD53cQK00mhcaOUVG,Myke Towers,LALA,WEA Latina,1,5,4680448,argentine
2,spotify:track:3oNnzH6hmqIGIhJ1NcHlrh,Maria Becerra,CORAZÓN VACÍO,WEA Latina,1,5,4206591,argentine
3,spotify:track:1Hs1uUl8o2VtDp1DABFq0O,LIT killah Tiago PZK Maria Becerra Duki Emilia Rusherking Big One FMK,Los del Espacio,WEA Latina,1,8,3976197,argentine
4,spotify:track:6XbtvPmIpyCbjuT0e8cQtp,Quevedo,Columbia,Quevedo,4,3,3794110,argentine
5,spotify:track:3tiJUOfAEqIrLFRQgGgdoY,Big One FMK Ke Personajes,Un Finde | CROSSOVER #2,Fifty One,1,17,3523118,argentine
6,spotify:track:0H9WU0OIXPpbOVgzzOanXb,BM,Ni Una Ni Dos,DALE PLAY Records / Wesaisons Records,6,4,3066661,argentine
7,spotify:track:5FWQLEX0lavdxiWGBNkBQ4,Tiago PZK TINI,Me Enteré,WEA Latina,4,10,2808476,argentine
8,spotify:track:2iIBpwP4FyQ95xgVail3yr,Emilia LUDMILLA ZECCA,No_se_ve.mp3,2023 WK Records,5,12,2573562,argentine
9,spotify:track:7w7BrPbOjF5OxChs2dxFve,Big One Emilia Callejero Fino,En La Intimidad | CROSSOVER #1,Fifty One,1,25,2308350,argentine
10,spotify:track:2UW7JaomAMuX9pZrjVpHAU,Yng Lvcas Peso Pluma,La Bebe - Remix,WM Mexico,2,18,2214705,argentine
11,spotify:track:6jRZ33ifS5VOTMwmPxhPhN,Luck Ra La K'onga Ke Personajes,Ya No Vuelvas (Versión Cuarteto),Sony Music Entertainment Chile S.A,1,34,2191640,argentine
12,spotify:track:6r0TaoZh1Oc1KkuL4rC1kB,Nicki Nicole Milo j,DISPARA ***,Sony Music Latin/DALE PLAY Records,9,10,2141780,argentine
13,spotify:track:1AX4aybSRyXHWrjg27wTFE,Ke Personajes Onda Sabanera,Pobre Corazón - En Vivo,Ke Personajes,2,21,2129052,argentine
14,spotify:track:5w7RsSgxxBwdVTSyQDj8Bi,The La Planta BM Alejo Isakk Locura Mix,DISCOTEKA (feat. Locura Mix),NES Play,14,21,2075316,argentine
15,spotify:track:6XSqqQIy7Lm7SnwxS4NrGx,Feid Young Miko,CLASSY 101,UMLE - Latino,5,17,2029399,argentine
16,spotify:track:3WndNMJo029mMO64l9hGFm,Mesita,Dale Mecha,Turbo Diesel Records,14,12,1908629,argentine
17,spotify:track:7JB29gnUowzSGRdIpeVqRQ,BM Callejero Fino La Joaqui Lola Indigo,M.A - Remix,DALE PLAY Records / Wesaisons Records,2,16,1857033,argentine
18,spotify:track:6pD0ufEQq0xdHSsRbg9LBK,Grupo Frontera Bad Bunny,un x100to,Rimas Entertainment LLC.,3,15,1837152,argentine
19,spotify:track:2bNCiY24Eh4saMcc23bvUN,Maria Becerra,ADIÓS,300 Entertainment,4,33,1745839,argentine
20,spotify:track:7ro0hRteUMfnOioTFI5TG1,Bad Bunny,WHERE SHE GOES,Rimas Entertainment LLC,14,10,1728345,argentine
21,spotify:track:5iDNf2uMgRzmQpcmGAzOUk,Anuel AA Quavo DJ Luian Mambo Kingz,Baby,Hear This Music LLC GLAD Empire LLC & Real Hasta La Muerte LLC,21,2,1540830,argentine
22,spotify:track:5AqiaZwhmC6dIbgWrD5SzV,Bizarrap Peso Pluma,Peso Pluma: Bzrp Music Sessions Vol. 55,DALE PLAY Records,2,9,1516167,argentine
23,spotify:track:0RpL1pOALdN5E4Ci1tYG1y,Maria Becerra Fast & Furious: The Fast Saga,Te Cura,APG Inc – FF10,16,10,1511460,argentine
24,spotify:track:3qQbCzHBycnDpGskqOWY0E,Eslabon Armado Peso Pluma,Ella Baila Sola,DEL Records,6,16,1511094,argentine
25,spotify:track:5AAb8GlTnCwkhBTJxw6F90,Duki KHEA Bizarrap,Remember Me,DALE PLAY Records / SSJ Records,17,2,1509895,argentine
26,spotify:track:1eIDsKCLwZF6CJK8pOgHX5,BM Phontana,M.A (Mejores Amigos),Wesaisons Records,2,38,1479388,argentine
27,spotify:track:6CIMoDfTsvFVGhFi3v9Izn,Alan Gomez Luck Ra,Luck Ra | Mission 15,WM Chile,25,10,1478088,argentine
28,spotify:track:7xX7bER73YZSE4m76OpMXV,FMK Emilia,Salgo a Bailar,Sony Music Entertainment Chile S.A,28,2,1433796,argentine
29,spotify:track:7MVIfkyzuUmQ716j8U7yGR,Taiu Milo j,Rara Vez,Universal Music Argentina S.A.,3,24,1431783,argentine
30,spotify:track:6HT88WDVwEJiHEbPuQ5XcB,Damas Gratis Ke Personajes,Costumbres - Vivo,Pelo Music S.A.,21,36,1424713,argentine
31,spotify:track:4JdSXF2p71cr8uCY3UiJM0,Yahritza Y Su Esencia Grupo Frontera,Frágil,Lumbre Music/Columbia,29,13,1403782,argentine
32,spotify:track:5UcWUgWfR2Ir0EXSb1EpoM,Nicki Nicole Young Miko,8 AM,Sony Music Latin/DALE PLAY Records,30,10,1372382,argentine
33,spotify:track:3ezO8gfskSWM3rk0GTfhFl,Emanero Ulises Bueno Migrantes Los Palmeras,ATORRANTE - con Los Palmeras,Fifty One,33,3,1324098,argentine
34,spotify:track:7HdEUquZzUzPjgSllvlJGl,Luck Ra La T y La M Rusherking,Quiero Creer,Sony Music Entertainment Chile S.A,11,25,1284031,argentine
